创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,商品ID,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
1270150292,商销通投托管-经典大胸-自产-加分-品牌人群-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67f8e09f000000001e00b038,5c6e75ba000000001201be11,图文笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-加分-品牌人群-ROI-4.14,111349874,2025-04-14 10:50:03,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270091010,商销通投托管-糯糯杯小胸-自产-自然显大-品牌人群-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67f87f9e000000001d0263d7,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯小胸-自产-自然显大-品牌人群-ROI-4.14,111366828,2025-04-14 10:49:29,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270090709,商销通投托管-经典大胸-自产-天花板-品牌人群-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67f477e9000000001d03acdc,5c6e75ba000000001201be11,图文笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-天花板-品牌人群-ROI-4.14,111366805,2025-04-14 10:48:59,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270148722,商销通投托管-糯糯杯大胸-自产-美晕-品牌人群-ROI-4.14,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67ebb578000000001e006c94,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-美晕-品牌人群-ROI-4.14,111374867,2025-04-14 10:46:44,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270264260,商销通投托管-糯糯杯小胸-自产-曲线-品牌人群-ROI-4.14,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67e51f64000000001d03b058,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯小胸-自产-曲线-品牌人群-ROI-4.14,111360977,2025-04-14 10:45:33,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1247009588,商销通投托管-经典大胸-自产-悟了-品牌人群-ROI-4.9-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67edeb41000000001b0240bc,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-悟了-品牌人群-ROI-4.9-视频,110614631,2025-04-09 16:51:34,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1245815955,商销通投托管-糯糯杯大胸-自产-视觉缩胸-品牌人群-ROI-4.9-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67f5cbf5000000001d006264,5c6e75ba000000001201be11,视频笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-视觉缩胸-品牌人群-ROI-4.9-视频,110559690,2025-04-09 14:03:22,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1234684001,商销通投托管-星河深V-自产-夏季-品牌人群-ROI-4.7,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67ee6477000000001b0388e9,5c6e75ba000000001201be11,图文笔记,6789ec0af1397f0015ee89f0,商销通投托管-星河深V-自产-夏季-品牌人群-ROI-4.7,110129994,2025-04-07 12:03:44,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1234683650,商销通投托管-糯糯杯小胸-自产-漂酿-品牌人群-ROI-4.7,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67ee2dd7000000001e00b713,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯小胸-自产-漂酿-品牌人群-ROI-4.7,110129972,2025-04-07 12:03:17,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1234582113,商销通投托管-糯糯杯小胸-自产-凹凸-品牌人群-ROI-4.7,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67e51c9c000000001e00197c,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯小胸-自产-凹凸-品牌人群-ROI-4.7,110146954,2025-04-07 12:02:51,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
